id,image_filename,image_path,cnic,ocr_status,confidence
87,0087.png,IdentityCards/0087.png,42087-0000087-7,success,0.7238
88,0088.png,IdentityCards/0088.png,,failed,0
89,0089.png,IdentityCards/0089.png,,failed,0
90,0090.png,IdentityCards/0090.png,,failed,0
91,0091.png,IdentityCards/0091.png,42091-0000091-1,success,0.5977
92,0092.png,IdentityCards/0092.png,42082-0000092-2,success,0.5123
93,0093.png,IdentityCards/0093.png,42093-0000093-3,success,0.5926
94,0094.png,IdentityCards/0094.png,42094-0000094-4,success,0.6315
95,0095.png,IdentityCards/0095.png,,failed,0.425
96,0096.png,IdentityCards/0096.png,42096-0000096-6,success,0.8948
97,0097.png,IdentityCards/0097.png,42097-0000097-7,success,0.6344
98,0098.png,IdentityCards/0098.png,,failed,0.2804
99,0099.png,IdentityCards/0099.png,,failed,0.3032
100,0100.png,IdentityCards/0100.png,,failed,0.1242
101,0101.png,IdentityCards/0101.png,42601-0060101-1,success,0.5007
102,0102.png,IdentityCards/0102.png,,failed,0.4332
103,0103.png,IdentityCards/0103.png,,failed,0.492
104,0104.png,IdentityCards/0104.png,,failed,0
105,0105.png,IdentityCards/0105.png,,failed,0
106,0106.png,IdentityCards/0106.png,,failed,0.4577
107,0107.png,IdentityCards/0107.png,,failed,0.4455
108,0108.png,IdentityCards/0108.png,,failed,0
109,0109.png,IdentityCards/0109.png,42009-0000109-9,success,0.5979
110,0110.png,IdentityCards/0110.png,42010-0000110-0,success,0.5112
111,0111.png,IdentityCards/0111.png,,failed,0.368
112,0112.png,IdentityCards/0112.png,42012-0000112-2,success,0.6551
113,0113.png,IdentityCards/0113.png,,failed,0.3998
114,0114.png,IdentityCards/0114.png,42014-0000114-4,success,0.5388
115,0115.png,IdentityCards/0115.png,42015-0000115-5,success,0.6329
116,0116.png,IdentityCards/0116.png,42016-0000116-6,success,0.7212
117,0117.png,IdentityCards/0117.png,42017-0000117-7,success,0.707
118,0118.png,IdentityCards/0118.png,,failed,0.2934
119,0119.png,IdentityCards/0119.png,42019-0000119-9,success,0.5443
120,0120.png,IdentityCards/0120.png,42020-0000120-0,success,0.5066
121,0121.png,IdentityCards/0121.png,42021-0000121-1,success,0.5745
122,0122.png,IdentityCards/0122.png,42022-0000122-2,success,0.8378
123,0123.png,IdentityCards/0123.png,42023-0000123-3,success,0.5771
124,0124.png,IdentityCards/0124.png,42024-0000124-4,success,0.7437
125,0125.png,IdentityCards/0125.png,42025-0000125-5,success,0.5162
126,0126.png,IdentityCards/0126.png,42026-0000126-6,success,0.7622
127,0127.png,IdentityCards/0127.png,,failed,0.4764
128,0128.png,IdentityCards/0128.png,42028-0000128-8,success,0.6813
129,0129.png,IdentityCards/0129.png,42029-0000129-9,success,0.6673
130,0130.png,IdentityCards/0130.png,42030-0000130-0,success,0.6887
131,0131.png,IdentityCards/0131.png,42031-0000131-1,success,0.6314
132,0132.png,IdentityCards/0132.png,,failed,0.493
133,0133.png,IdentityCards/0133.png,42033-0000133-3,success,0.5083
134,0134.png,IdentityCards/0134.png,42034-0000134-4,success,0.6845
135,0135.png,IdentityCards/0135.png,42035-0000135-5,success,0.7547
136,0136.png,IdentityCards/0136.png,42036-0000136-6,success,0.7724
137,0137.png,IdentityCards/0137.png,42037-0000137-7,success,0.5485
138,0138.png,IdentityCards/0138.png,42038-0000138-8,success,0.6751
139,0139.png,IdentityCards/0139.png,42039-0000139-9,success,0.6388
140,0140.png,IdentityCards/0140.png,42040-0000140-0,success,0.538
141,0141.png,IdentityCards/0141.png,42041-0000141-1,success,0.7639
142,0142.png,IdentityCards/0142.png,42042-0000142-2,success,0.7926
143,0143.png,IdentityCards/0143.png,42043-0000143-3,success,0.5941
144,0144.png,IdentityCards/0144.png,42044-0000144-4,success,0.741
145,0145.png,IdentityCards/0145.png,42045-0000145-5,success,0.7434
146,0146.png,IdentityCards/0146.png,42046-0000146-6,success,0.7697
147,0147.png,IdentityCards/0147.png,42047-0000147-7,success,0.6839
148,0148.png,IdentityCards/0148.png,42048-0000148-8,success,0.6326
149,0149.png,IdentityCards/0149.png,,failed,0.4651
150,0150.png,IdentityCards/0150.png,42050-0000150-0,success,0.5642
151,0151.png,IdentityCards/0151.png,42051-0000151-1,success,0.8319
152,0152.png,IdentityCards/0152.png,42052-0000152-2,success,0.584
153,0153.png,IdentityCards/0153.png,42053-0000153-3,success,0.628
154,0154.png,IdentityCards/0154.png,42054-0000154-4,success,0.7327
155,0155.png,IdentityCards/0155.png,42055-0000155-5,success,0.5747
156,0156.png,IdentityCards/0156.png,42056-0000156-6,success,0.875
157,0157.png,IdentityCards/0157.png,42057-0000157-7,success,0.7886
158,0158.png,IdentityCards/0158.png,42058-0000158-8,success,0.6499
159,0159.png,IdentityCards/0159.png,42059-0000159-9,success,0.729
160,0160.png,IdentityCards/0160.png,42080-0000160-0,success,0.5753
161,0161.png,IdentityCards/0161.png,42081-0000161-1,success,0.7244
162,0162.png,IdentityCards/0162.png,42062-0000162-2,success,0.5802
163,0163.png,IdentityCards/0163.png,,failed,0.481
164,0164.png,IdentityCards/0164.png,42064-0000164-4,success,0.5847
165,0165.png,IdentityCards/0165.png,42085-0000165-5,success,0.5341
166,0166.png,IdentityCards/0166.png,42086-0000166-6,success,0.8835
167,0167.png,IdentityCards/0167.png,42067-0000167-7,success,0.7228
168,0168.png,IdentityCards/0168.png,,failed,0.4029
169,0169.png,IdentityCards/0169.png,,failed,0.2719
170,0170.png,IdentityCards/0170.png,42070-0000170-0,success,0.6256
171,0171.png,IdentityCards/0171.png,42071-0000171-1,success,0.6429
172,0172.png,IdentityCards/0172.png,42072-0000172-2,success,0.5277
173,0173.png,IdentityCards/0173.png,42073-0000173-3,success,0.7087
174,0174.png,IdentityCards/0174.png,42074-0000174-4,success,0.7579
175,0175.png,IdentityCards/0175.png,42075-0000175-5,success,0.6031
176,0176.png,IdentityCards/0176.png,42076-0000176-6,success,0.8366
177,0177.png,IdentityCards/0177.png,42077-0000177-1,success,0.6332
178,0178.png,IdentityCards/0178.png,42078-0000178-8,success,0.5056
179,0179.png,IdentityCards/0179.png,42079-0000179-9,success,0.7357
180,0180.png,IdentityCards/0180.png,,failed,0.3314
181,0181.png,IdentityCards/0181.png,,failed,0
182,0182.png,IdentityCards/0182.png,42082-0000182-2,success,0.6895
183,0183.png,IdentityCards/0183.png,,failed,0
184,0184.png,IdentityCards/0184.png,,failed,0.4528
185,0185.png,IdentityCards/0185.png,,failed,0.2227
186,0186.png,IdentityCards/0186.png,42086-0000186-6,success,0.7931
187,0187.png,IdentityCards/0187.png,42087-0000187-7,success,0.7351
188,0188.png,IdentityCards/0188.png,42088-0000188-8,success,0.6547
189,0189.png,IdentityCards/0189.png,42089-0000189-9,success,0.7253
190,0190.png,IdentityCards/0190.png,42090-0000190-0,success,0.687
191,0191.png,IdentityCards/0191.png,42091-0000191-1,success,0.6655
192,0192.png,IdentityCards/0192.png,,failed,0.4879
193,0193.png,IdentityCards/0193.png,42093-0000193-3,success,0.6738
194,0194.png,IdentityCards/0194.png,42094-0000194-4,success,0.603
195,0195.png,IdentityCards/0195.png,,failed,0.4515
196,0196.png,IdentityCards/0196.png,42096-0000196-6,success,0.8676
197,0197.png,IdentityCards/0197.png,42097-0000197-7,success,0.6981
198,0198.png,IdentityCards/0198.png,42098-0000198-8,success,0.6732
199,0199.png,IdentityCards/0199.png,42039-0000199-9,success,0.5647
200,0200.png,IdentityCards/0200.png,,failed,0.1929
201,0201.png,IdentityCards/0201.png,,failed,0.461
202,0202.png,IdentityCards/0202.png,,failed,0.3776
203,0203.png,IdentityCards/0203.png,,failed,0.2663
204,0204.png,IdentityCards/0204.png,42004-0000204-4,success,0.5339
205,0205.png,IdentityCards/0205.png,42605-0000205-5,success,0.6885
206,0206.png,IdentityCards/0206.png,42606-0000206-6,success,0.5527
207,0207.png,IdentityCards/0207.png,,failed,0.4517
208,0208.png,IdentityCards/0208.png,,failed,0.3832
209,0209.png,IdentityCards/0209.png,42009-0000209-9,success,0.599
210,0210.png,IdentityCards/0210.png,42010-0000210-0,success,0.5958
211,0211.png,IdentityCards/0211.png,42011-0000211-1,success,0.7018
212,0212.png,IdentityCards/0212.png,42012-0000212-2,success,0.7243
213,0213.png,IdentityCards/0213.png,,failed,0.495
214,0214.png,IdentityCards/0214.png,42014-0000214-4,success,0.7464
215,0215.png,IdentityCards/0215.png,42015-0000215-5,success,0.6561
216,0216.png,IdentityCards/0216.png,42016-0000216-6,success,0.8378
217,0217.png,IdentityCards/0217.png,,failed,0.4895
218,0218.png,IdentityCards/0218.png,,failed,0.3755
219,0219.png,IdentityCards/0219.png,42019-0000219-9,success,0.7839
220,0220.png,IdentityCards/0220.png,,failed,0
221,0221.png,IdentityCards/0221.png,42021-0000221-1,success,0.7411
222,0222.png,IdentityCards/0222.png,42022-0000222-2,success,0.5907
223,0223.png,IdentityCards/0223.png,42023-0000223-3,success,0.6886
224,0224.png,IdentityCards/0224.png,42024-0000224-4,success,0.7758
225,0225.png,IdentityCards/0225.png,42025-0000225-5,success,0.7397
226,0226.png,IdentityCards/0226.png,42026-0000226-6,success,0.6545
227,0227.png,IdentityCards/0227.png,,failed,0.4641
228,0228.png,IdentityCards/0228.png,42028-0000228-8,success,0.712
229,0229.png,IdentityCards/0229.png,42029-0000229-9,success,0.6256
230,0230.png,IdentityCards/0230.png,42030-0000230-0,success,0.8245
231,0231.png,IdentityCards/0231.png,42031-0000231-1,success,0.8209
232,0232.png,IdentityCards/0232.png,42032-0000232-2,success,0.7916
233,0233.png,IdentityCards/0233.png,,failed,0.415
234,0234.png,IdentityCards/0234.png,42034-0000234-4,success,0.7795
235,0235.png,IdentityCards/0235.png,,failed,0.487
236,0236.png,IdentityCards/0236.png,42036-0000236-6,success,0.865
237,0237.png,IdentityCards/0237.png,42037-0000237-7,success,0.6597
238,0238.png,IdentityCards/0238.png,42038-0000238-8,success,0.7483
239,0239.png,IdentityCards/0239.png,42039-0000239-9,success,0.5654
240,0240.png,IdentityCards/0240.png,42040-0000240-0,success,0.6022
241,0241.png,IdentityCards/0241.png,42041-0000241-1,success,0.556
242,0242.png,IdentityCards/0242.png,42042-0000242-2,success,0.791
243,0243.png,IdentityCards/0243.png,42043-0000243-3,success,0.7498
244,0244.png,IdentityCards/0244.png,,failed,0.465
245,0245.png,IdentityCards/0245.png,,failed,0.3906
246,0246.png,IdentityCards/0246.png,42046-0000246-6,success,0.8512
247,0247.png,IdentityCards/0247.png,42047-0000247-7,success,0.7026
248,0248.png,IdentityCards/0248.png,,failed,0
249,0249.png,IdentityCards/0249.png,42049-0000249-9,success,0.5327
250,0250.png,IdentityCards/0250.png,42050-0000250-0,success,0.5662
251,0251.png,IdentityCards/0251.png,42051-0000251-1,success,0.8423
252,0252.png,IdentityCards/0252.png,42052-0000252-2,success,0.5599
253,0253.png,IdentityCards/0253.png,42053-0000253-3,success,0.614
254,0254.png,IdentityCards/0254.png,42054-0000254-4,success,0.8024
255,0255.png,IdentityCards/0255.png,42055-0000255-5,success,0.7953
256,0256.png,IdentityCards/0256.png,42056-0000256-6,success,0.8257
257,0257.png,IdentityCards/0257.png,42057-0000257-7,success,0.8112
258,0258.png,IdentityCards/0258.png,42058-0000258-8,success,0.7677
259,0259.png,IdentityCards/0259.png,42059-0000259-9,success,0.5856
260,0260.png,IdentityCards/0260.png,,failed,0.4632
261,0261.png,IdentityCards/0261.png,,failed,0.444
262,0262.png,IdentityCards/0262.png,42062-0000262-2,success,0.7506
263,0263.png,IdentityCards/0263.png,42063-0000263-3,success,0.6077
264,0264.png,IdentityCards/0264.png,,failed,0.4625
265,0265.png,IdentityCards/0265.png,,failed,0.4127
266,0266.png,IdentityCards/0266.png,42086-0000256-6,success,0.6572
267,0267.png,IdentityCards/0267.png,,failed,0.4947
268,0268.png,IdentityCards/0268.png,42088-0000268-8,success,0.5606
269,0269.png,IdentityCards/0269.png,,failed,0.3426
270,0270.png,IdentityCards/0270.png,42070-0000270-0,success,0.749
271,0271.png,IdentityCards/0271.png,,failed,0.4911
272,0272.png,IdentityCards/0272.png,42072-0000212-2,success,0.7303
273,0273.png,IdentityCards/0273.png,42073-0000273-3,success,0.763
274,0274.png,IdentityCards/0274.png,42074-0000274-4,success,0.82
275,0275.png,IdentityCards/0275.png,42075-0000275-5,success,0.8446
276,0276.png,IdentityCards/0276.png,42076-0000276-6,success,0.8644
277,0277.png,IdentityCards/0277.png,,failed,0.4044
278,0278.png,IdentityCards/0278.png,42078-0000278-8,success,0.7277
279,0279.png,IdentityCards/0279.png,42079-0000279-9,success,0.7417
280,0280.png,IdentityCards/0280.png,42080-0000280-0,success,0.5159
281,0281.png,IdentityCards/0281.png,42081-0000281-1,success,0.5387
282,0282.png,IdentityCards/0282.png,42082-0000282-2,success,0.8378
283,0283.png,IdentityCards/0283.png,42083-0000283-3,success,0.6473
284,0284.png,IdentityCards/0284.png,42084-0000284-4,success,0.7582
285,0285.png,IdentityCards/0285.png,42085-0000285-5,success,0.718
286,0286.png,IdentityCards/0286.png,42086-0000286-6,success,0.8872
287,0287.png,IdentityCards/0287.png,42087-0000287-7,success,0.5223
288,0288.png,IdentityCards/0288.png,42088-0000288-8,success,0.6936
289,0289.png,IdentityCards/0289.png,42089-0000289-9,success,0.6766
290,0290.png,IdentityCards/0290.png,,failed,0.4371
291,0291.png,IdentityCards/0291.png,42091-0000291-1,success,0.6183
292,0292.png,IdentityCards/0292.png,,failed,0.3905
293,0293.png,IdentityCards/0293.png,42093-0000293-3,success,0.6283
294,0294.png,IdentityCards/0294.png,42094-0000294-4,success,0.68
295,0295.png,IdentityCards/0295.png,42095-0000295-5,success,0.6171
296,0296.png,IdentityCards/0296.png,42096-0000296-6,success,0.8029
297,0297.png,IdentityCards/0297.png,42097-0000257-7,success,0.5079
298,0298.png,IdentityCards/0298.png,42098-0000298-8,success,0.6761
299,0299.png,IdentityCards/0299.png,,failed,0.4349
300,0300.png,IdentityCards/0300.png,,failed,0.2598
301,0301.png,IdentityCards/0301.png,42601-0000301-1,success,0.5829
302,0302.png,IdentityCards/0302.png,,failed,0.434
303,0303.png,IdentityCards/0303.png,,failed,0.3006
304,0304.png,IdentityCards/0304.png,42004-0000304-4,success,0.6561
305,0305.png,IdentityCards/0305.png,42605-0000305-5,success,0.6259
306,0306.png,IdentityCards/0306.png,,failed,0.4607
307,0307.png,IdentityCards/0307.png,42607-0000307-7,success,0.5716
308,0308.png,IdentityCards/0308.png,,failed,0.3724
309,0309.png,IdentityCards/0309.png,,failed,0.4465
310,0310.png,IdentityCards/0310.png,42010-0000310-0,success,0.7703
311,0311.png,IdentityCards/0311.png,42011-0000311-1,success,0.6795
312,0312.png,IdentityCards/0312.png,42012-0000312-2,success,0.7244
313,0313.png,IdentityCards/0313.png,,failed,0.4823
314,0314.png,IdentityCards/0314.png,42014-0000314-4,success,0.5439
315,0315.png,IdentityCards/0315.png,42015-0000315-5,success,0.8511
316,0316.png,IdentityCards/0316.png,42016-0000316-6,success,0.8928
317,0317.png,IdentityCards/0317.png,42017-0000317-7,success,0.7653
318,0318.png,IdentityCards/0318.png,42018-0000318-8,success,0.6417
319,0319.png,IdentityCards/0319.png,42019-0000319-9,success,0.6612
320,0320.png,IdentityCards/0320.png,42020-0000320-0,success,0.7351
321,0321.png,IdentityCards/0321.png,42021-0000321-1,success,0.8244
322,0322.png,IdentityCards/0322.png,42022-0000322-2,success,0.8244
323,0323.png,IdentityCards/0323.png,42023-0000323-3,success,0.7345
324,0324.png,IdentityCards/0324.png,42024-0000324-4,success,0.7335
325,0325.png,IdentityCards/0325.png,42025-0000325-5,success,0.5256
326,0326.png,IdentityCards/0326.png,42026-0000326-6,success,0.6919
327,0327.png,IdentityCards/0327.png,42027-0000327-7,success,0.6267
328,0328.png,IdentityCards/0328.png,42028-0000328-8,success,0.7646
329,0329.png,IdentityCards/0329.png,42029-0000329-9,success,0.7917
330,0330.png,IdentityCards/0330.png,42030-0000330-0,success,0.721
331,0331.png,IdentityCards/0331.png,42031-0000331-1,success,0.8706
332,0332.png,IdentityCards/0332.png,42032-0000332-2,success,0.6919
333,0333.png,IdentityCards/0333.png,42033-0000333-3,success,0.8083
334,0334.png,IdentityCards/0334.png,42034-0000334-4,success,0.7787
335,0335.png,IdentityCards/0335.png,42035-0000325-5,success,0.6089
336,0336.png,IdentityCards/0336.png,42036-0000336-6,success,0.7589
337,0337.png,IdentityCards/0337.png,42037-0000337-7,success,0.6731
338,0338.png,IdentityCards/0338.png,42038-0000338-8,success,0.7347
339,0339.png,IdentityCards/0339.png,42039-0000339-9,success,0.9297
340,0340.png,IdentityCards/0340.png,42040-0000340-0,success,0.5194
341,0341.png,IdentityCards/0341.png,42041-0000341-1,success,0.6833
342,0342.png,IdentityCards/0342.png,42042-0000342-2,success,0.6847
343,0343.png,IdentityCards/0343.png,42043-0000343-3,success,0.7111
344,0344.png,IdentityCards/0344.png,42044-0000344-4,success,0.8297
345,0345.png,IdentityCards/0345.png,42045-0000345-5,success,0.7023
346,0346.png,IdentityCards/0346.png,42046-0000346-6,success,0.9049
347,0347.png,IdentityCards/0347.png,42047-0000347-7,success,0.8226
348,0348.png,IdentityCards/0348.png,42048-0000348-8,success,0.6558
349,0349.png,IdentityCards/0349.png,42049-0000349-9,success,0.7584
350,0350.png,IdentityCards/0350.png,42050-0000350-0,success,0.8266
351,0351.png,IdentityCards/0351.png,42051-0000351-1,success,0.8967
352,0352.png,IdentityCards/0352.png,42052-0000352-2,success,0.6109
353,0353.png,IdentityCards/0353.png,42053-0000353-3,success,0.6849
354,0354.png,IdentityCards/0354.png,42054-0000354-4,success,0.6441
355,0355.png,IdentityCards/0355.png,42055-0000355-5,success,0.7885
356,0356.png,IdentityCards/0356.png,42056-0000356-6,success,0.8843
357,0357.png,IdentityCards/0357.png,42057-0000357-7,success,0.8181
358,0358.png,IdentityCards/0358.png,42058-0000358-8,success,0.766
359,0359.png,IdentityCards/0359.png,42059-0000359-9,success,0.9233
360,0360.png,IdentityCards/0360.png,42080-0000360-0,success,0.5933
361,0361.png,IdentityCards/0361.png,42081-0000361-1,success,0.6814
362,0362.png,IdentityCards/0362.png,42062-0000362-2,success,0.7778
363,0363.png,IdentityCards/0363.png,42063-0000363-3,success,0.6592
364,0364.png,IdentityCards/0364.png,42064-0000364-4,success,0.6828
365,0365.png,IdentityCards/0365.png,42085-0000365-5,success,0.6467
366,0366.png,IdentityCards/0366.png,42086-0000366-6,success,0.9347
367,0367.png,IdentityCards/0367.png,42067-0000367-7,success,0.6088
368,0368.png,IdentityCards/0368.png,42088-0000368-8,success,0.7323
369,0369.png,IdentityCards/0369.png,42069-0000369-9,success,0.5087
370,0370.png,IdentityCards/0370.png,42070-0000370-0,success,0.6027
371,0371.png,IdentityCards/0371.png,42071-0000371-1,success,0.7476
372,0372.png,IdentityCards/0372.png,42072-0000372-2,success,0.5403
373,0373.png,IdentityCards/0373.png,,failed,0.4359
374,0374.png,IdentityCards/0374.png,42074-0000374-4,success,0.8625
375,0375.png,IdentityCards/0375.png,42075-0000375-5,success,0.8186
376,0376.png,IdentityCards/0376.png,42076-0000376-6,success,0.8263
377,0377.png,IdentityCards/0377.png,,failed,0.3744
378,0378.png,IdentityCards/0378.png,42078-0000378-8,success,0.6051
379,0379.png,IdentityCards/0379.png,42079-0000379-9,success,0.8523
380,0380.png,IdentityCards/0380.png,42080-0000380-0,success,0.7039
381,0381.png,IdentityCards/0381.png,42081-0000381-1,success,0.7846
382,0382.png,IdentityCards/0382.png,42082-0000382-2,success,0.7298
383,0383.png,IdentityCards/0383.png,42083-0000383-3,success,0.7233
384,0384.png,IdentityCards/0384.png,42084-0000384-4,success,0.8122
385,0385.png,IdentityCards/0385.png,42085-0000385-5,success,0.8212
386,0386.png,IdentityCards/0386.png,42086-0000386-6,success,0.891
387,0387.png,IdentityCards/0387.png,42087-0000387-7,success,0.7396
388,0388.png,IdentityCards/0388.png,42088-0000388-8,success,0.7306
389,0389.png,IdentityCards/0389.png,42089-0000389-9,success,0.7019
390,0390.png,IdentityCards/0390.png,42090-0000390-0,success,0.7148
391,0391.png,IdentityCards/0391.png,42091-0000391-1,success,0.8955
392,0392.png,IdentityCards/0392.png,42082-0000392-2,success,0.5719
393,0393.png,IdentityCards/0393.png,,failed,0.4183
394,0394.png,IdentityCards/0394.png,42094-0000394-4,success,0.7213
395,0395.png,IdentityCards/0395.png,,failed,0.3732
396,0396.png,IdentityCards/0396.png,42096-0000396-6,success,0.8747
397,0397.png,IdentityCards/0397.png,42097-0000357-7,success,0.5156
398,0398.png,IdentityCards/0398.png,42098-0000398-8,success,0.7343
399,0399.png,IdentityCards/0399.png,42039-0000399-9,success,0.6421
400,0400.png,IdentityCards/0400.png,,failed,0.2574
401,0401.png,IdentityCards/0401.png,,failed,0.4865
402,0402.png,IdentityCards/0402.png,,failed,0.4259
403,0403.png,IdentityCards/0403.png,,failed,0.4629
404,0404.png,IdentityCards/0404.png,42004-0000404-4,success,0.5565
405,0405.png,IdentityCards/0405.png,42605-0000405-5,success,0.5185
406,0406.png,IdentityCards/0406.png,,failed,0.4
407,0407.png,IdentityCards/0407.png,42607-0000407-7,success,0.6518
408,0408.png,IdentityCards/0408.png,,failed,0.2968
409,0409.png,IdentityCards/0409.png,,failed,0.2682
410,0410.png,IdentityCards/0410.png,42010-0000410-0,success,0.6995
411,0411.png,IdentityCards/0411.png,42011-0000411-1,success,0.5874
412,0412.png,IdentityCards/0412.png,42012-0000412-2,success,0.8074
413,0413.png,IdentityCards/0413.png,42013-0000413-3,success,0.6263
414,0414.png,IdentityCards/0414.png,42014-0000414-4,success,0.7252
415,0415.png,IdentityCards/0415.png,42015-0000415-5,success,0.6961
416,0416.png,IdentityCards/0416.png,42016-0000416-6,success,0.8325
417,0417.png,IdentityCards/0417.png,42017-0000417-7,success,0.8199
418,0418.png,IdentityCards/0418.png,,failed,0.4872
419,0419.png,IdentityCards/0419.png,42019-0000419-9,success,0.7565
420,0420.png,IdentityCards/0420.png,42020-0000420-0,success,0.5052
421,0421.png,IdentityCards/0421.png,42021-0000421-1,success,0.6413
422,0422.png,IdentityCards/0422.png,42022-0000422-2,success,0.7784
423,0423.png,IdentityCards/0423.png,,failed,0.4165
424,0424.png,IdentityCards/0424.png,42024-0000424-4,success,0.5546
425,0425.png,IdentityCards/0425.png,42025-0000425-5,success,0.5062
